Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17
			NATURAL DIAMOND									LAB MADE VS NATURAL DIAMOND					
Average of Price/Carat	Column Labels																
Row Labels	IF	VVS1	VVS2	VS1	VS2	SI1	SI2	Grand Total		PEAR SHAPE	IF	VVS1	VVS2	VS1	VS2	SI1	SI2
D	2438.65043	2013.81729	2031.020613	1985.917547	1929.60452	1712.867996	1676.636958	1969.787908		D	0.692072325	0.607144652	0.622533356	0.55423033	0.56683296	0.644463911	0.591842236
E	2396.477987	2020	2000.10167	1886.735277	1779.220117	1490.196078	1420.300546	1856.147382		E	0.613029098	0.410444462	0.510549469	0.436662352	0.394447057	0.512633776	0.55686234
F	2453.404635	2044.136192	2019.059829	1810.675173	1900.754717	1477.948718	1623.859649	1904.262702		F	0.589311854	0.675800048	0.613109667	0.599607474	0.56987052	0.57559986	0.513516913
G	2324.387464	1939.150327	1974.509804	1836.425339	1790.40724	1542.48366	1460.769231	1838.304724		G	0.131673661	0.634009126	0.671230472	0.57268841	0.577076875	0.571876369	0.518577505
H	1895.923048	1841.282051	1718.86413	1641.27174	1705.279035	1437.909605	1639.471639	1697.143036		H	0.361774934	0.676908569	0.572916922	0.605301382	0.569573678	0.570622218	0.60365876
I	1795.483767	1551.960784	1770.15083	1491.372549	1418.104575	1132.616487	1275.334339	1490.717619		I	0	0.877025316	0.726740886	0.691654914	0.720552066	0.762294896	0.581888103
J	1735.490196	1304.670433	1367.914926	1381.633987	1216.696091	1219.45246	1125.908068	1335.966594		J	0	0.825507102	0.853547623	0.766366941	0.843600334	0.821283566	0.788390757
K	1548.129713	1265.062389	1307.395676	1167.712418	1021.728395	1157.225725	1065.041088	1218.899344		K	0	0	0	0	0	0	0
Grand Total	2073.493405	1747.509933	1773.627185	1650.218004	1595.224336	1396.337591	1410.91519	1663.903663									
																	
																	
																	
																	
												NATURAL VS RAPAPORT DIAMOND					
			LAB MADE DIAMOND														
Average of Price/Carat	Column Labels									PEAR SHAPE	IF	VVS1	VVS2	VS1	VS2	SI1	SI2
Row Labels	IF	VVS1	VVS2	VS1	VS2	SI1	SI2	Grand Total		D	0.609662608	0.489390856	0.508071805	0.640618563	0.665380869	0.805526916	0.967152673
D	1687.722474	1297.832568	1202.04378	1100.655738	1093.763441	1039.958644	1043.762433	1209.391297		E	0.684707996	0.451574569	0.458161467	0.650598371	0.658970414	0.87826087	1.05268509
E	1469.110739	1035.520227	1113.781295	823.8662645	701.8081399	611.6427273	725.1336898	925.8375832		F	0.74345595	0.476757651	0.559951603	0.646669705	0.731059507	0.929152814	1.121699905
F	1445.820433	1176.604507	1036.82137	1085.694366	1083.18408	998.7978142	995.6040481	1117.503803		G	0.749802408	0.531890917	0.541025641	0.706317438	0.716162896	0.923404918	1.161476355
G	306.0606061	1108.954248	1023.936367	1051.699507	1033.202614	977.9487179	980.5128205	926.0449831		H	0.653766568	0.532559113	0.655788656	0.683863225	0.741425667	0.920641026	1.074290081
H	685.8974359	1050.676448	1037.607389	993.4640523	971.2820513	973.3333333	939.2810458	950.2202508		I	0.718193507	0.471923536	0.554493191	0.677896613	0.709052288	0.862200436	1.180100553
I	0	1183.051785	1030.029709	1031.515152	1021.818182	993.3333333	926.8376068	883.7979667		J	0.826423903	0.60972623	0.592583194	0.767574437	0.715703583	0.815419021	0.97708209
J	0	1071.504385	1078.451483	1058.838612	1026.405229	1006.666667	961.0161549	886.1260759		K	0.860072063	0.680721015	0.66565068	0.778474946	0.729805996	0.903615992	1.005688982
K	0	0	0	0	0	0	0	0									
Grand Total	699.326461	990.5180209	940.3339243	893.2167115	866.4329671	825.2101545	821.5184748	862.3652449									
																	
																	
		Rapaport Price															
	IF	VVS1	VVS2	VS1	VS2	SI1	SI2										
D	4000	3500	3300	3100	2900	2500	2100										
E	3500	3300	3100	2900	2700	2300	1900										
F	3300	3100	2900	2800	2600	2200	1800										
G	3100	2900	2700	2600	2500	2100	1700										
H	2900	2700	2500	2400	2300	2000	1600										
I	2500	2400	2300	2200	2000	1800	1500										
J	2100	2000	1900	1800	1700	1600	1400										
K	1800	1700	1600	1500	1400	1400	1300										
